,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
114,0.0019975900650024414,0.00019592713855878403,0.0014726877212524413,0.0001720310723770222,3,1,poly,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
113,0.002027440071105957,0.00014691897807465217,0.0015110015869140626,0.00030753329996818904,3,1,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
92,0.002484774589538574,0.0005050187998523486,0.0019059896469116211,0.0002784344415121347,2,5,linear,3000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
93,0.0021653175354003906,0.00020319893923265446,0.0014765024185180663,0.0002372712771145073,2,5,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
94,0.002162623405456543,0.00031459112517132006,0.0015224218368530273,0.00036497658164711294,2,5,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
95,0.0023629188537597655,0.0003453084655205405,0.0018694639205932618,0.0005618988197708123,2,5,rbf,3000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
248,0.0029661893844604493,0.00046557895729865167,0.002231144905090332,0.00040233159524415764,5,4,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
194,0.004268145561218262,0.0010308827012617196,0.0028867483139038085,0.00037088001268880126,4,4,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
246,0.0030354022979736327,0.0002402709101341041,0.0024004459381103517,0.0006716307554189448,5,4,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
99,0.002882981300354004,0.0009027697283451642,0.0018639564514160156,0.0004428827741923579,2,6,linear,1000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
134,0.005402469635009765,0.0009506608631344683,0.004519057273864746,0.0012816720982069501,3,3,poly,3000,1.0,1.0,1.0,1.0,0.9333333333333333,1.0,0.8666666666666667,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
100,0.002623128890991211,0.0006985111816868796,0.0019929170608520507,0.0004962186183733618,2,6,linear,2000,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.04268749491621898,7
102,0.0025166749954223635,0.0005490208496472779,0.0018243789672851562,0.00034825722768148877,2,6,rbf,1000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
103,0.002583932876586914,0.0004743959378221883,0.0017786264419555665,0.000311582553049476,2,6,rbf,2000,1.0,0.9333333333333333,1.0,1.0,1.0,0.9333333333333333,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
